Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-01-01,63.86,63.3,64.49,63.25,1900000,1.04,,0.0,0.0,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"43,934.81","44,874.86","43,755.38","44,434.80",384746880,679.42,68.0,0.06482931412464768
2021-01-04,63.85,64.14,64.15,63.61,1530000,-0.02,-0.00999999999999801,0.0,0.00999999999999801,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,920.08","45,074.37","44,434.80","44,686.46",334371008,251.66,67.99,0.06483946750195761
2021-01-05,63.79,63.65,64.23,63.51,1070000,-0.09,-0.060000000000002274,0.0,0.060000000000002274,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,593.86","44,830.28","44,458.71","44,650.43",282080000,-36.03,68.3,0.0707007367926007
2021-01-06,63.8,63.95,64.0,63.51,2020000,0.02,0.00999999999999801,0.00999999999999801,0.0,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,852.92","45,194.63","44,650.43","45,153.42",372801568,502.99,68.98,0.08119122257053303
2021-01-07,65.85,63.85,66.0,63.75,3480000,3.21,2.049999999999997,2.049999999999997,0.0,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,320.50","45,619.80","45,153.42","45,344.54",393666592,191.12,70.2,0.0660592255125286
2021-01-08,66.6,66.0,67.0,65.62,2590000,1.14,0.75,0.75,0.0,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,501.00","45,916.33","45,344.54","45,654.34",456584992,309.8,70.85,0.06381381381381382
2021-01-11,66.85,67.0,67.7,66.5,2210000,0.38,0.25,0.25,0.0,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,860.00","46,109.36","45,529.48","45,605.42",264622368,-48.92,70.5,0.054599850411368826
2021-01-12,66.84,66.98,66.98,66.51,666140,-0.01,-0.009999999999990905,0.0,0.009999999999990905,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,707.70","46,013.36","45,605.42","45,922.04",506698976,316.62,70.88,0.06044284859365637
2021-01-13,67.1,66.6,67.16,66.2,1190000,0.39,0.2599999999999909,0.2599999999999909,0.0,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,188.48","46,314.15","45,922.04","46,091.96",466059840,169.92,71.25,0.06184798807749636
2021-01-14,66.75,67.0,67.0,66.52,1030000,-0.52,-0.3499999999999943,0.0,0.3499999999999943,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,229.87","46,272.58","45,852.83","45,989.35",284611936,-102.61,71.85,0.07640449438202239
2021-01-15,65.85,66.9,66.9,65.8,2170000,-1.35,-0.9000000000000057,0.0,0.9000000000000057,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,086.81","46,177.38","45,875.21","45,931.00",221742592,-58.35,71.65,0.08807896735003815
2021-01-18,65.83,66.28,66.29,65.61,1910000,-0.03,-0.01999999999999602,0.0,0.01999999999999602,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,947.26","46,047.56","45,714.17","45,726.68",285079136,-204.32,71.7,0.0891690718517394
2021-01-19,65.73,65.8,66.03,65.3,1740000,-0.15,-0.09999999999999432,0.0,0.09999999999999432,0.0,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,726.68","45,978.14","45,596.81","45,903.23",222199184,176.55,72.02,0.09569450783508279
2021-01-20,65.04,65.85,65.85,65.0,1710000,-1.05,-0.6899999999999977,0.0,0.6899999999999977,60.80586080586094,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,806.08","45,903.23","45,545.43","45,676.94",218829984,-226.29,72.3,0.11162361623616221
2021-01-21,65.41,65.03,65.6,65.0,707950,0.57,0.36999999999999034,0.36999999999999034,0.0,63.293310463121855,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,708.78","46,143.53","45,676.94","45,984.46",333340928,307.52,68.92,0.05366151964531425
2021-01-22,65.08,65.5,65.6,64.95,1030000,-0.5,-0.3299999999999983,0.0,0.3299999999999983,60.00000000000005,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,018.12","46,116.85","45,690.50","45,868.04",236247568,-116.42,69.4,0.06637984019668113
2021-01-25,65.03,65.4,65.55,65.01,858380,-0.08,-0.04999999999999716,0.0,0.04999999999999716,60.097719869706935,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,014.61","46,189.02","45,868.04","46,087.64",257277024,219.6,71.0,0.09180378286944485
2021-01-26,65.38,65.15,65.67,64.99,786600,0.54,0.3499999999999943,0.3499999999999943,0.0,62.191358024691446,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,199.83","46,398.01","46,087.64","46,287.38",341440000,199.74,72.1,0.10278372591006422
2021-01-27,65.3,65.7,65.75,65.14,778940,-0.12,-0.0799999999999983,0.0,0.0799999999999983,43.9024390243902,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,359.73","46,698.33","46,287.38","46,458.13",373942944,170.75,71.73,0.0984686064318531
2021-01-28,65.15,65.15,65.61,65.0,1470000,-0.23,-0.14999999999999147,0.0,0.14999999999999147,31.457800511508808,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,459.13","46,645.17","46,110.92","46,166.05",296475232,-292.08,70.87,0.08779739063699153
2021-01-29,64.99,65.2,65.45,64.7,3400000,-0.25,-0.1600000000000108,0.0,0.1600000000000108,25.6544502617798,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,295.23","46,656.98","46,166.05","46,385.54",484118112,219.49,70.89,0.09078319741498701
2021-02-01,65.0,64.98,65.01,64.5,1350000,0.02,0.010000000000005116,0.010000000000005116,0.0,25.916230366491874,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,611.61","46,762.64","46,188.25","46,248.45",375224800,-137.09,70.15,0.07923076923076931
2021-02-02,65.28,64.95,65.5,64.61,2840000,0.43,0.28000000000000114,0.28000000000000114,0.0,26.30208333333327,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,430.50","46,642.72","46,248.45","46,580.34",265919904,331.89,69.6,0.06617647058823518
2021-02-03,65.59,65.45,65.75,65.25,1640000,0.47,0.3100000000000023,0.3100000000000023,0.0,34.736842105263136,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,743.14","47,123.82","46,580.34","46,933.63",324165760,353.29,69.49,0.059460283579813866
2021-02-04,64.9,65.75,65.89,64.85,3210000,-1.05,-0.6899999999999977,0.0,0.6899999999999977,36.76880222841232,2021,4.82,15.8,21.69,2.16,56.35,15.94,"47,230.27","47,339.21","46,746.58","46,905.79",238258080,-27.84,69.35,0.06856702619414466
2021-02-08,63.9,64.7,64.7,63.65,2830000,-1.54,-1.000000000000007,0.0,1.000000000000007,28.884026258205637,2021,4.82,15.8,21.69,2.16,56.35,15.94,"47,008.82","47,074.16","46,659.24","46,721.87",189814608,-183.92,70.54,0.10391236306729276
2021-02-09,63.45,63.89,64.05,63.4,1430000,-0.7,-0.44999999999999574,0.0,0.44999999999999574,26.829268292682855,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,914.88","46,990.92","46,628.97","46,674.77",278657376,-47.1,70.5,0.11111111111111106
2021-02-10,62.9,63.47,63.5,62.7,2440000,-0.87,-0.5500000000000043,0.0,0.5500000000000043,27.615062761506167,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,642.02","46,845.44","46,341.76","46,644.29",314180320,-30.48,70.5,0.1208267090620032
2021-02-11,62.9,63.2,63.3,62.75,1430000,0.0,0.0,0.0,0.0,21.541950113378732,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,720.01","46,935.32","45,960.44","46,055.52",364973888,-588.77,70.3,0.1176470588235294
2021-02-12,63.29,63.35,64.0,62.5,2040000,0.62,0.39000000000000057,0.39000000000000057,0.0,29.97762863534679,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,067.08","46,358.08","45,731.88","45,808.36",199533024,-247.16,70.1,0.1075999367988623
2021-02-15,64.58,63.4,65.15,63.4,7300000,2.04,1.2899999999999991,1.2899999999999991,0.0,46.05954465849385,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,951.00","46,507.42","45,808.36","46,375.59",248699104,567.23,70.15,0.0862496128832457
2021-02-16,65.35,64.98,65.4,64.58,2290000,1.19,0.769999999999996,0.769999999999996,0.0,49.7553017944535,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,559.96","46,884.53","46,375.59","46,867.95",224787952,492.36,70.5,0.07880642693190522
