Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-02-01,1428.01,1418.99,1460.0,1418.95,69960,1.28,,0.0,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,611.61","46,762.64","46,188.25","46,248.45",375224800,-137.09,1534.03,0.07424317756878453
2021-02-02,1433.0,1435.0,1450.0,1425.0,20600,0.35,4.990000000000009,4.990000000000009,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,430.50","46,642.72","46,248.45","46,580.34",265919904,331.89,1532.87,0.0696929518492672
2021-02-03,1540.0,1440.0,1540.0,1435.07,625020,7.47,107.0,107.0,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,743.14","47,123.82","46,580.34","46,933.63",324165760,353.29,1521.7,-0.011883116883116853
2021-02-04,1649.02,1649.02,1649.02,1649.02,4760,7.08,109.01999999999998,109.01999999999998,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"47,230.27","47,339.21","46,746.58","46,905.79",238258080,-27.84,1559.0,-0.05458999890844258
2021-02-08,1670.01,1660.0,1725.0,1649.02,370020,1.27,20.99000000000001,20.99000000000001,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"47,008.82","47,074.16","46,659.24","46,721.87",189814608,-183.92,1547.0,-0.07365824156741575
2021-02-09,1690.0,1700.0,1700.0,1660.0,53740,1.2,19.99000000000001,19.99000000000001,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,914.88","46,990.92","46,628.97","46,674.77",278657376,-47.1,1539.0,-0.0893491124260355
2021-02-10,1657.0,1700.0,1700.0,1650.0,69840,-1.95,-33.0,0.0,33.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,642.02","46,845.44","46,341.76","46,644.29",314180320,-30.48,1550.0,-0.06457453228726615
2021-02-11,1611.0,1641.0,1658.0,1611.0,72180,-2.78,-46.0,0.0,46.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,720.01","46,935.32","45,960.44","46,055.52",364973888,-588.77,1522.0,-0.05524518932340161
2021-02-12,1601.29,1601.0,1623.0,1570.55,21660,-0.6,-9.710000000000036,0.0,9.710000000000036,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"46,067.08","46,358.08","45,731.88","45,808.36",199533024,-247.16,1497.8,-0.06462914275365488
2021-02-15,1622.0,1620.0,1640.0,1601.0,59820,1.29,20.710000000000036,20.710000000000036,0.0,,2021,6.47,26.19,9.25,1.76,0.0,43.0,"45,951.00","46,507.42","45,808.36","46,375.59",248699104,567.23,1525.0,-0.059802712700369916
