Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-02-01,45.1,46.1,46.5,44.87,8039999,-1.68,,0.0,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,611.61","46,762.64","46,188.25","46,248.45",375224800,-137.09,48.25,0.06984478935698445
2021-02-02,45.25,45.05,45.5,45.0,4390000,0.33,0.14999999999999858,0.14999999999999858,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,430.50","46,642.72","46,248.45","46,580.34",265919904,331.89,48.8,0.07845303867403308
2021-02-03,45.99,45.71,46.59,45.65,19440000,1.64,0.740000000000002,0.740000000000002,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,743.14","47,123.82","46,580.34","46,933.63",324165760,353.29,48.21,0.04827136333985647
2021-02-04,45.4,46.4,46.56,44.02,10400000,-1.28,-0.5900000000000034,0.0,0.5900000000000034,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"47,230.27","47,339.21","46,746.58","46,905.79",238258080,-27.84,47.95,0.056167400881057365
2021-02-08,44.74,45.25,45.3,44.5,3540000,-1.45,-0.6599999999999966,0.0,0.6599999999999966,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"47,008.82","47,074.16","46,659.24","46,721.87",189814608,-183.92,47.15,0.053866785873938235
2021-02-09,44.24,44.7,45.25,44.19,3330000,-1.12,-0.5,0.0,0.5,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,914.88","46,990.92","46,628.97","46,674.77",278657376,-47.1,47.15,0.06577757685352614
2021-02-10,45.35,44.17,46.24,44.01,22590000,2.51,1.1099999999999994,1.1099999999999994,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,642.02","46,845.44","46,341.76","46,644.29",314180320,-30.48,46.5,0.025358324145534697
2021-02-11,44.3,45.4,47.47,44.0,45770000,-2.32,-1.0500000000000043,0.0,1.0500000000000043,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,720.01","46,935.32","45,960.44","46,055.52",364973888,-588.77,45.55,0.028216704288939055
2021-02-12,45.21,44.9,46.09,44.6,11660000,2.05,0.9100000000000037,0.9100000000000037,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,067.08","46,358.08","45,731.88","45,808.36",199533024,-247.16,45.97,0.016810440168104356
2021-02-15,47.35,45.74,47.64,45.49,35650000,4.73,2.1400000000000006,2.1400000000000006,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,951.00","46,507.42","45,808.36","46,375.59",248699104,567.23,47.0,-0.007391763463569195
2021-02-16,48.27,47.9,48.84,47.61,36180000,1.94,0.9200000000000017,0.9200000000000017,0.0,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,559.96","46,884.53","46,375.59","46,867.95",224787952,492.36,47.5,-0.015951937020924033
2021-02-17,48.2,49.0,49.3,47.99,36410000,-0.15,-0.07000000000000028,0.0,0.07000000000000028,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"47,118.53","47,305.86","46,726.85","46,768.14",223532672,-99.81,46.57,-0.03381742738589217
2021-02-18,47.5,48.4,48.47,47.26,8600000,-1.45,-0.7000000000000028,0.0,0.7000000000000028,,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,805.76","46,817.51","46,120.61","46,142.74",207847632,-625.4,45.6,-0.03999999999999997
2021-02-19,47.05,47.8,48.28,46.67,11910000,-0.95,-0.45000000000000284,0.0,0.45000000000000284,59.759759759759724,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,140.11","46,378.35","46,137.20","46,227.65",311675776,84.91,45.75,-0.02763018065887348
2021-02-22,46.7,47.45,47.7,46.45,9460000,-0.74,-0.3499999999999943,0.0,0.3499999999999943,57.73694390715668,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,348.38","46,402.73","45,763.05","45,890.04",291823040,-337.61,45.2,-0.032119914346895075
2021-02-23,46.7,47.0,47.68,46.6,8450000,0.0,0.0,0.0,0.0,57.11481844946026,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,048.59","46,083.66","45,663.03","45,728.75",255788240,-161.29,46.55,-0.003211991434689629
2021-02-24,46.04,46.95,46.95,45.25,11120000,-1.41,-0.6600000000000037,0.0,0.6600000000000037,50.24727992087041,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,781.75","45,887.77","45,205.48","45,362.58",280616896,-366.17,46.0,-0.000868809730668965
2021-02-25,47.2,46.5,47.44,45.75,9580000,2.52,1.1600000000000037,1.1600000000000037,0.0,58.426966292134836,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,628.92","46,004.68","45,362.58","45,965.62",202124992,603.04,45.95,-0.026483050847457626
2021-02-26,46.7,47.29,47.74,46.5,11770000,-1.06,-0.5,0.0,0.5,59.31558935361215,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,051.00","46,239.89","45,753.07","45,865.02",233028816,-100.6,45.96,-0.015845824411134947
2021-03-01,46.95,47.01,47.15,45.8,12120000,0.54,0.25,0.25,0.0,63.19376825705938,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,865.02","46,009.38","45,092.80","45,593.43",176269632,-271.59,46.02,-0.01980830670926517
