Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,RoAA,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-02-01,41.85,42.15,42.3,41.8,539500,-0.64,,0.0,0.0,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,611.61","46,762.64","46,188.25","46,248.45",375224800,-137.09,36.75,-0.12186379928315415
2021-02-02,41.74,42.0,42.1,41.56,1650000,-0.26,-0.10999999999999943,0.0,0.10999999999999943,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,430.50","46,642.72","46,248.45","46,580.34",265919904,331.89,36.5,-0.12553905126976525
2021-02-03,41.55,41.55,42.0,41.45,701000,-0.46,-0.19000000000000483,0.0,0.19000000000000483,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,743.14","47,123.82","46,580.34","46,933.63",324165760,353.29,36.5,-0.1215403128760529
2021-02-04,41.25,41.25,41.78,41.01,1160000,-0.72,-0.29999999999999716,0.0,0.29999999999999716,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,230.27","47,339.21","46,746.58","46,905.79",238258080,-27.84,35.6,-0.13696969696969694
2021-02-08,40.63,41.49,41.49,40.42,607500,-1.5,-0.6199999999999974,0.0,0.6199999999999974,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,008.82","47,074.16","46,659.24","46,721.87",189814608,-183.92,35.49,-0.12650750676839775
2021-02-09,40.69,40.5,41.0,40.16,280000,0.15,0.05999999999999517,0.05999999999999517,0.0,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,914.88","46,990.92","46,628.97","46,674.77",278657376,-47.1,35.75,-0.121405750798722
2021-02-10,40.1,40.5,40.68,40.1,414500,-1.45,-0.5899999999999963,0.0,0.5899999999999963,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,642.02","46,845.44","46,341.76","46,644.29",314180320,-30.48,35.57,-0.11296758104738157
2021-02-11,40.7,40.5,40.85,39.95,484000,1.5,0.6000000000000014,0.6000000000000014,0.0,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,720.01","46,935.32","45,960.44","46,055.52",364973888,-588.77,34.65,-0.14864864864864874
2021-02-12,40.3,40.15,40.6,39.8,339000,-0.98,-0.4000000000000057,0.0,0.4000000000000057,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,067.08","46,358.08","45,731.88","45,808.36",199533024,-247.16,34.75,-0.13771712158808927
2021-02-15,39.3,40.0,40.0,39.3,1090000,-2.48,-1.0,0.0,1.0,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,951.00","46,507.42","45,808.36","46,375.59",248699104,567.23,37.25,-0.05216284987277347
2021-02-16,40.56,39.5,40.89,39.5,889000,3.21,1.2600000000000051,1.2600000000000051,0.0,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,559.96","46,884.53","46,375.59","46,867.95",224787952,492.36,37.0,-0.08777120315581859
2021-02-17,40.01,40.8,40.8,39.95,697500,-1.36,-0.5500000000000043,0.0,0.5500000000000043,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,118.53","47,305.86","46,726.85","46,768.14",223532672,-99.81,36.5,-0.0877280679830042
2021-02-18,38.9,39.85,40.01,38.77,737500,-2.77,-1.1099999999999994,0.0,1.1099999999999994,,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,805.76","46,817.51","46,120.61","46,142.74",207847632,-625.4,35.65,-0.08354755784061697
2021-02-19,39.45,39.05,39.5,38.8,667000,1.41,0.5500000000000043,0.5500000000000043,0.0,33.65122615803817,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,140.11","46,378.35","46,137.20","46,227.65",311675776,84.91,35.95,-0.08871989860583016
2021-02-22,38.95,39.39,39.58,38.7,258000,-1.27,-0.5,0.0,0.5,31.505102040816354,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,348.38","46,402.73","45,763.05","45,890.04",291823040,-337.61,35.89,-0.07856225930680365
2021-02-23,38.16,39.0,39.1,38.0,477500,-2.03,-0.7900000000000063,0.0,0.7900000000000063,28.990610328638496,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,048.59","46,083.66","45,663.03","45,728.75",255788240,-161.29,35.8,-0.06184486373165617
2021-02-24,36.5,38.45,39.78,35.41,3760000,-4.35,-1.6599999999999966,0.0,1.6599999999999966,24.724724724724766,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,781.75","45,887.77","45,205.48","45,362.58",280616896,-366.17,35.5,-0.0273972602739726
2021-02-25,36.85,36.79,37.7,36.5,1570000,0.96,0.3500000000000014,0.3500000000000014,0.0,28.08764940239047,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,628.92","46,004.68","45,362.58","45,965.62",202124992,603.04,35.4,-0.03934871099050211
2021-02-26,35.61,36.75,37.0,35.56,768500,-3.36,-1.240000000000002,0.0,1.240000000000002,26.454033771106964,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,051.00","46,239.89","45,753.07","45,865.02",233028816,-100.6,35.25,-0.010109519797809588
2021-03-01,35.25,35.91,36.34,34.8,460500,-1.01,-0.35999999999999943,0.0,0.35999999999999943,25.18248175182488,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,865.02","46,009.38","45,092.80","45,593.43",176269632,-271.59,35.25,0.0
2021-03-02,35.2,35.1,35.36,34.9,1050000,-0.14,-0.04999999999999716,0.0,0.04999999999999716,26.487523992322522,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,633.00","46,077.92","45,535.87","45,964.27",203497232,370.84,35.3,0.0028409090909089292
2021-03-03,35.1,35.05,35.49,35.0,285000,-0.28,-0.10000000000000142,0.0,0.10000000000000142,21.77419354838716,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,020.00","46,189.25","45,923.57","46,160.78",198943776,196.51,35.62,0.014814814814814701
2021-03-04,35.0,34.45,35.48,34.27,790500,-0.28,-0.10000000000000142,0.0,0.10000000000000142,22.453222453222523,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,167.00","46,160.78","45,087.63","45,278.53",215942464,-882.25,35.7,0.02000000000000008
2021-03-05,35.38,35.2,35.8,34.1,1010000,1.09,0.38000000000000256,0.38000000000000256,0.0,28.2222222222223,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,424.86","45,946.69","45,168.21","45,837.35",168080240,558.82,35.5,0.003391746749575959
2021-03-08,34.5,36.24,36.24,34.5,760000,-2.49,-0.8800000000000026,0.0,0.8800000000000026,14.849187935034863,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,421.38","46,432.39","44,849.07","45,051.05",235630000,-786.3,35.17,0.019420289855072513
2021-03-09,34.34,34.61,34.7,33.75,794500,-0.46,-0.1599999999999966,0.0,0.1599999999999966,15.55285540704746,2021,2.57,13.44,2.9,0.25,286.21,0.83,"45,018.77","45,129.55","43,946.30","44,222.91",231190144,-828.14,35.11,0.022422830518345833
2021-03-10,33.1,34.0,34.01,33.1,674500,-3.61,-1.240000000000002,0.0,1.240000000000002,15.311004784689061,2021,2.57,13.44,2.9,0.25,286.21,0.83,"44,285.75","44,424.04","43,620.84","43,691.68",187412656,-531.23,34.77,0.050453172205438115
2021-03-11,32.41,33.94,34.03,32.3,724500,-2.08,-0.6900000000000048,0.0,0.6900000000000048,8.58823529411768,2021,2.57,13.44,2.9,0.25,286.21,0.83,"43,655.79","43,891.00","42,688.20","42,779.76",195454192,-911.92,34.69,0.07034865782166003
2021-03-12,34.0,33.06,34.0,32.6,275000,4.91,1.5900000000000034,1.5900000000000034,0.0,24.191866527632982,2021,2.57,13.44,2.9,0.25,286.21,0.83,"42,880.27","43,986.18","42,779.76","43,788.08",169440416,"1,008.32",35.99,0.05852941176470594
