Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-02-01,18.49,18.49,18.68,18.43,101470,-0.04,,0.0,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,611.61","46,762.64","46,188.25","46,248.45",375224800,-137.09,22.78,0.23201730665224463
2021-02-02,18.92,18.69,19.01,18.62,140850,2.36,0.43000000000000327,0.43000000000000327,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,430.50","46,642.72","46,248.45","46,580.34",265919904,331.89,23.54,0.24418604651162776
2021-02-03,20.34,19.07,20.34,18.92,2270000,7.47,1.4199999999999982,1.4199999999999982,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,743.14","47,123.82","46,580.34","46,933.63",324165760,353.29,23.11,0.13618485742379546
2021-02-04,21.86,21.86,21.86,21.13,3660000,7.5,1.5199999999999996,1.5199999999999996,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"47,230.27","47,339.21","46,746.58","46,905.79",238258080,-27.84,23.04,0.05397987191216833
2021-02-08,23.5,22.78,23.5,21.62,17320000,7.49,1.6400000000000006,1.6400000000000006,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"47,008.82","47,074.16","46,659.24","46,721.87",189814608,-183.92,22.97,-0.02255319148936175
2021-02-09,25.26,24.25,25.26,23.78,4360000,7.47,1.7600000000000016,1.7600000000000016,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,914.88","46,990.92","46,628.97","46,674.77",278657376,-47.1,23.96,-0.051464766429137
2021-02-10,26.97,25.55,27.14,25.55,8369999,6.8,1.7099999999999973,1.7099999999999973,0.0,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,642.02","46,845.44","46,341.76","46,644.29",314180320,-30.48,24.3,-0.09899888765294766
2021-02-11,25.53,26.99,26.99,24.95,3440000,-5.34,-1.4399999999999977,0.0,1.4399999999999977,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,720.01","46,935.32","45,960.44","46,055.52",364973888,-588.77,23.8,-0.06776341558950257
2021-02-12,25.12,25.49,25.49,24.76,1180000,-1.63,-0.41000000000000014,0.0,0.41000000000000014,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,067.08","46,358.08","45,731.88","45,808.36",199533024,-247.16,24.02,-0.043789808917197505
2021-02-15,24.84,25.42,26.12,24.77,765570,-1.1,-0.28000000000000114,0.0,0.28000000000000114,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,951.00","46,507.42","45,808.36","46,375.59",248699104,567.23,24.26,-0.023349436392914584
2021-02-16,23.53,24.54,25.42,23.0,4710000,-5.26,-1.3099999999999987,0.0,1.3099999999999987,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,559.96","46,884.53","46,375.59","46,867.95",224787952,492.36,24.56,0.043773905652358586
2021-02-17,23.3,23.77,24.53,23.04,10800000,-0.98,-0.23000000000000043,0.0,0.23000000000000043,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"47,118.53","47,305.86","46,726.85","46,768.14",223532672,-99.81,25.29,0.08540772532188834
2021-02-18,23.14,23.18,24.09,22.95,4510000,-0.68,-0.16000000000000014,0.0,0.16000000000000014,,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,805.76","46,817.51","46,120.61","46,142.74",207847632,-625.4,24.05,0.03932584269662922
2021-02-19,24.87,23.24,24.87,23.24,4750000,7.48,1.7300000000000004,1.7300000000000004,0.0,72.72079772079772,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,140.11","46,378.35","46,137.20","46,227.65",311675776,84.91,23.1,-0.07117008443908321
2021-02-22,24.56,25.42,25.75,24.23,6330000,-1.25,-0.3100000000000023,0.0,0.3100000000000023,71.14982578397212,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,348.38","46,402.73","45,763.05","45,890.04",291823040,-337.61,23.41,-0.04682410423452763
2021-02-23,23.17,24.55,24.55,22.95,2740000,-5.67,-1.389999999999997,0.0,1.389999999999997,63.87981711299804,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,048.59","46,083.66","45,663.03","45,728.75",255788240,-161.29,23.74,0.024600776866637752
2021-02-24,21.86,23.24,24.5,21.43,5080000,-5.67,-1.3100000000000023,0.0,1.3100000000000023,55.0,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,781.75","45,887.77","45,205.48","45,362.58",280616896,-366.17,23.8,0.08874656907593785
2021-02-25,21.37,22.1,22.58,21.26,1920000,-2.21,-0.48999999999999844,0.0,0.48999999999999844,48.27099505998589,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,628.92","46,004.68","45,362.58","45,965.62",202124992,603.04,23.49,0.09920449227889552
2021-02-26,21.24,21.65,22.19,21.13,2390000,-0.62,-0.13000000000000256,0.0,0.13000000000000256,41.074249605055286,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,051.00","46,239.89","45,753.07","45,865.02",233028816,-100.6,23.05,0.08521657250470821
2021-03-01,21.14,21.14,21.66,20.63,3940000,-0.47,-0.09999999999999787,0.0,0.09999999999999787,31.272727272727266,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,865.02","46,009.38","45,092.80","45,593.43",176269632,-271.59,23.76,0.12393566698202464
2021-03-02,22.67,21.56,22.73,21.14,8530000,7.21,1.5300000000000011,1.5300000000000011,0.0,30.1293900184843,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,633.00","46,077.92","45,535.87","45,964.27",203497232,370.84,24.05,0.060873400970445475
2021-03-03,21.31,23.11,23.14,21.2,3560000,-6.0,-1.360000000000003,0.0,1.360000000000003,30.353817504655495,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,020.00","46,189.25","45,923.57","46,160.78",198943776,196.51,24.48,0.14875645236977952
2021-03-04,20.57,20.43,20.96,20.34,1190000,-3.47,-0.7399999999999984,0.0,0.7399999999999984,29.44896115627823,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,167.00","46,160.78","45,087.63","45,278.53",215942464,-882.25,26.29,0.2780748663101604
2021-03-05,20.46,20.8,20.8,19.91,629270,-0.55,-0.10999999999999943,0.0,0.10999999999999943,29.90825688073396,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,424.86","45,946.69","45,168.21","45,837.35",168080240,558.82,26.65,0.30254154447702825
2021-03-08,20.01,21.03,21.03,19.81,1670000,-2.16,-0.4499999999999993,0.0,0.4499999999999993,32.470119521912366,2021,14.89,1.63,0.0,1.5,22.1,7.73,"46,421.38","46,432.39","44,849.07","45,051.05",235630000,-786.3,26.14,0.3063468265867066
2021-03-09,19.27,19.95,20.0,18.62,1370000,-3.73,-0.740000000000002,0.0,0.740000000000002,30.900473933649295,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,018.77","45,129.55","43,946.30","44,222.91",231190144,-828.14,25.3,0.3129216398546965
2021-03-10,18.45,19.47,20.07,18.17,1780000,-4.25,-0.8200000000000003,0.0,0.8200000000000003,29.081177520071364,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,285.75","44,424.04","43,620.84","43,691.68",187412656,-531.23,24.66,0.3365853658536586
2021-03-11,17.62,18.44,18.98,17.17,1190000,-4.47,-0.8299999999999983,0.0,0.8299999999999983,14.839961202715827,2021,14.89,1.63,0.0,1.5,22.1,7.73,"43,655.79","43,891.00","42,688.20","42,779.76",195454192,-911.92,25.08,0.423382519863791
2021-03-12,18.48,18.14,18.94,17.67,1140000,4.83,0.8599999999999994,0.8599999999999994,0.0,22.007366482504608,2021,14.89,1.63,0.0,1.5,22.1,7.73,"42,880.27","43,986.18","42,779.76","43,788.08",169440416,"1,008.32",24.78,0.34090909090909094
2021-03-15,19.15,19.02,19.21,18.72,564900,3.65,0.6699999999999982,0.6699999999999982,0.0,30.1775147928994,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,288.74","44,839.19","43,788.08","44,766.59",239525872,978.51,25.65,0.33942558746736295
2021-03-16,19.37,18.98,19.64,18.82,530820,1.14,0.22000000000000242,0.22000000000000242,0.0,36.243093922651944,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,869.17","44,910.93","44,545.43","44,857.06",168350848,90.47,25.7,0.32679401135776964
2021-03-17,19.97,19.81,20.46,19.35,920050,3.1,0.5999999999999979,0.5999999999999979,0.0,42.358078602620076,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,203.19","45,540.63","44,857.06","45,450.31",262197536,593.25,25.71,0.28743114672008024
2021-03-18,20.31,20.4,21.22,20.2,1660000,1.72,0.33999999999999986,0.33999999999999986,0.0,45.03735325506936,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,519.33","45,612.95","44,641.49","44,724.09",299368672,-726.22,27.42,0.3500738552437225
2021-03-19,20.43,20.15,20.73,20.14,442230,0.59,0.120000000000001,0.120000000000001,0.0,46.21938232161874,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,768.18","45,172.33","44,393.28","44,901.31",288732416,177.22,26.44,0.2941752325012238
2021-03-22,20.67,20.35,21.1,20.24,714080,1.16,0.240000000000002,0.240000000000002,0.0,37.65432098765432,2021,14.89,1.63,0.0,1.5,22.1,7.73,"44,918.72","45,465.13","44,735.59","45,407.33",277038048,506.02,25.48,0.2327044025157232
2021-03-24,20.78,20.48,21.12,20.07,1320000,0.54,0.10999999999999943,0.10999999999999943,0.0,46.131386861313885,2021,14.89,1.63,0.0,1.5,22.1,7.73,"45,390.73","45,593.61","45,258.99","45,544.19",271922368,136.86,25.39,0.22184793070259862
